,wake,n1,n2,n3,rem
wake,60728.0,169.0,16072.0,10.0,3880.0
n1,7728.0,224.0,12135.0,9.0,3006.0
n2,10632.0,165.0,76086.0,22.0,6178.0
n3,526.0,5.0,15940.0,8.0,605.0
rem,3526.0,74.0,13887.0,1.0,14332.0
