,wake,n1,n2,n3,rem
wake,58240.0,174.0,20609.0,1.0,1835.0
n1,7237.0,185.0,14087.0,0.0,1593.0
n2,12252.0,164.0,77032.0,95.0,3540.0
n3,947.0,5.0,15336.0,127.0,669.0
rem,3579.0,110.0,22404.0,2.0,5725.0
