,wake,n1,n2,n3,rem
wake,54983.0,15.0,25861.0,0.0,0.0
n1,6846.0,0.0,16256.0,0.0,0.0
n2,12792.0,0.0,80291.0,0.0,0.0
n3,846.0,1.0,16237.0,0.0,0.0
rem,2548.0,0.0,29272.0,0.0,0.0
